Name,CuisineType,Pricing_for_2,Restaurant_Phone,OperatingHours,LocationID,ActiveFlag,OpenStatus,Locality,Restaurant_Address,Latitude,Longitude
Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200,6644856222,8:00 AM - 16:00 PM,1,Yes,Open,"Chawri Bazar, New Delhi","526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi",28.64766195,77.22699109
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700,8959858303,10:00 AM - 18:00 PM,1,Yes,Open,"Kailash Colony, New Delhi","HS-16, Main Market, Kailash Colony, New Delhi",28.55293914,77.24094898
Dum-Pukht - ITC Maurya,"North Indian, Desserts,Beverages",5000,6192814393,9:00 AM - 19:00 PM,1,Yes,Open,"ITC Maurya, Chanakyapuri, New Delhi","ITC Maurya, Chanakyapuri, New Delhi",28.5982003,77.17366073
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600,9145897039,10:00 AM - 19:00 PM,1,Yes,Open,"Cyber Hub, DLF Cyber City, Gurgaon","Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",28.49446439,77.08853245
The Big Chill,"Continental, American",1500,9944856222,6:00 AM - 17:00 PM,1,Yes,Open,"Khan Market, New Delhi","68-A, Khan Market, New Delhi",28.60035007,77.22749334
